"국가별",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"아시아",,,,,,,,,,,,,,,,,
"대한민국",18520,20800,23440,23860,22040,22290,23590,25660,26980,28160,28720,29330,30300,32750,33830,32930,34980
"이스라엘",21500,22370,24040,26270,27400,29770,31760,32540,34670,36300,36200,36540,37970,41320,43540,42610,49560
"일본",41280,40590,39310,39380,39230,43910,47470,50060,48850,44440,39380,38460,38930,41770,42010,40810,42620
"튀르키예",6820,7880,8950,9850,9640,10490,11310,11960,12600,12630,12030,11260,10970,10510,9690,9040,9830
"북아메리카",,,,,,,,,,,,,,,,,
"캐나다",34810,38510,43090,45650,43230,44490,47190,51080,52800,52200,47590,43890,42900,45080,46540,43540,48310
"멕시코",8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470,8530,9380
"미국",46180,47830,48500,49100,47870,49150,50620,52790,53990,55800,56620,57140,59250,63490,65970,64140,70430
"남아메리카",,,,,,,,,,,,,,,,,
"칠레",6260,7420,8770,10030,9950,10790,11930,14270,15180,14770,14130,13340,13260,14580,14900,13120,15000
"콜롬비아",3000,3500,4120,4710,5140,5630,6320,7290,7960,8210,7330,6460,5940,6270,6570,5830,6160
"코스타리카",4640,5060,5680,6410,6540,7260,8090,9280,9930,10350,10700,11100,11500,11970,12120,11580,12310
"유럽",,,,,,,,,,,,,,,,,
"오스트리아",38770,41500,44540,49210,49150,49750,50700,50100,50720,50390,47480,46240,45040,49010,51010,48360,52210
"벨기에",37780,39940,42740,46570,46980,47080,46490,47130,47900,47820,45570,43400,42520,46070,48050,45810,50510
"체코",12480,14000,15850,18510,18840,19400,19460,19440,19410,18900,18370,17670,18310,20560,22110,22130,24070
"덴마크",49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,58040,56690,61260,63460,63010,68110
"에스토니아",9730,11500,13430,15190,14570,14580,15840,16760,18140,18880,18570,18290,18760,21200,23050,23040,25970
"핀란드",40230,42840,46190,50160,48950,49750,50260,48970,49510,49420,47180,45530,44840,48220,49940,50080,53660
"프랑스",35920,37890,40160,43540,44070,43970,44440,43410,43800,43340,41130,39100,38320,41200,42550,39500,43880
"독일",35770,38270,40470,43650,43660,44680,47320,46560,47220,47640,45780,44280,43760,47470,49190,47520,51040
"그리스",-,24570,26370,28710,29420,27610,24560,23180,22430,22010,20190,18640,17960,19080,19670,17950,20140
"헝가리",10390,11250,11770,13250,13420,13270,13260,13090,13520,13560,13230,13100,13190,14980,16520,15950,17740
"아이슬란드",50520,53450,61880,50060,41860,36270,37610,40690,46960,48090,49940,54910,60230,67760,72900,62410,64410
"아일랜드",44640,47950,50530,50940,46810,44850,42220,40730,43510,46410,50390,51810,53350,59350,63300,65750,74520
"이탈리아",32480,34280,35930,37980,37990,37960,37980,36220,35570,34910,33000,31970,31380,33850,34940,32380,35710
"라트비아",7390,8930,11230,13530,14120,12650,12740,13800,14850,15340,15110,14800,14870,16550,17810,17900,19370
"리히텐슈타인",92710,104050,112190,121900,116440,-,-,-,-,-,-,-,-,-,-,-,-
"리투아니아",7560,8800,10600,12680,12460,12570,13320,14100,15340,16070,15190,14890,15280,17470,19060,19620,21610
"룩셈부르크",73180,71370,85730,86000,70650,77640,79210,87950,85160,86760,73530,73730,75800,79540,77110,81110,-
"네덜란드",42110,45950,49150,52770,53840,54070,54590,52980,52980,52000,49850,46930,47160,51320,53230,51070,56370
"노르웨이",63830,70020,78470,87470,87830,88490,90330,99110,104190,104370,92910,81370,75650,80320,81670,77880,84090
"폴란드",7340,8460,9940,11980,12500,12740,12890,13160,13390,13560,13310,12720,12730,14150,15360,15260,16670
"포르투갈",18600,19410,20860,22640,22990,23030,22770,21170,21380,21200,20460,19940,20060,22060,23200,21810,23730
"슬로바키아",11370,12950,14940,17290,17150,17550,17510,17760,18200,18280,17700,16790,16620,18340,19250,18920,20250
"슬로베니아",18310,19820,21800,24660,24450,24620,24630,23260,23240,23620,22270,21790,22140,24640,25980,25340,28240
"스페인",25910,27850,29770,32250,32560,31970,31020,29540,29230,29140,28450,27550,27100,29310,30380,27360,29740
"스웨덴",45770,49150,52310,55720,52640,54630,56700,59090,61800,61870,58420,54360,53030,55690,56420,54290,58890
"스위스",63080,65590,64480,65260,72470,79850,82280,87770,91700,89400,87960,84420,81880,83280,84260,82620,90360
"영국",42810,45160,47650,48690,44420,41940,41300,41940,42920,44670,44730,43460,41880,42410,43460,39970,45380
"오세아니아",,,,,,,,,,,,,,,,,
"오스트레일리아",30390,34150,37340,42360,44050,46690,50380,60260,66050,65180,60490,54090,51480,53070,54910,53680,56760
"뉴질랜드",25440,26400,28150,28630,29690,29680,32230,36700,39930,41680,40660,39440,38870,41650,43050,41480,45340
